arduino_timestamp,elapsed_time,capacitive_value
12160,13.07,12
12180,13.09,7
12200,13.11,8
12220,13.13,12
12240,13.15,10
12260,13.17,18
12280,13.19,12
12300,13.21,11
12320,13.22,14
12340,13.24,14
12360,13.27,14
12380,13.29,16
12400,13.31,12
12420,13.32,8
12440,13.35,15
12460,13.36,15
12480,13.38,12
12500,13.41,5
12520,13.43,13
12540,13.45,10
12560,13.46,13
12580,13.49,11
12600,13.51,10
12620,13.53,12
12640,13.55,9
12660,13.57,15
12680,13.59,15
12700,13.6,12
12720,13.63,13
12740,13.65,11
12760,13.66,13
12780,13.69,10
12800,13.71,8
12820,13.73,12
12840,13.75,15
12860,13.77,16
12880,13.79,13
12900,13.81,10
12920,13.83,13
12940,13.84,11
12960,13.87,11
12980,13.89,10
13000,13.91,5
13020,13.93,13
13040,13.95,11
13060,13.97,14
13080,13.99,12
13100,14.01,10
13120,14.03,14
13140,14.04,13
13160,14.07,15
13180,14.09,8
13200,14.11,8
13220,14.12,14
13240,14.15,15
13260,14.17,12
13280,14.19,12
13300,14.2,9
13320,14.23,10
13340,14.25,14
13360,14.27,14
13380,14.29,13
13400,14.31,15
13420,14.33,13
13440,14.34,11
13460,14.37,8
13480,14.39,10
13500,14.41,7
13520,14.43,11
13540,14.44,11
13560,14.47,13
13580,14.49,13
13600,14.51,9
13620,14.53,13
13640,14.55,11
13660,14.56,9
13680,14.58,10
13700,14.61,10
13720,14.63,13
13740,14.64,13
13760,14.67,14
13780,14.69,11
13800,14.7,9
13820,14.73,12
13840,14.75,14
13860,14.77,14
13880,14.79,11
13900,14.81,12
13920,14.83,12
13940,14.85,15
13960,14.86,13
13980,14.89,13
14000,14.91,12
14020,14.93,11
14040,14.95,14
14060,14.96,13
14080,14.99,16
14100,15.01,11
14120,15.03,12
14140,15.05,13
14160,15.07,15
14180,15.09,12
14200,15.1,10
14220,15.13,10
14240,15.15,9
14260,15.16,16
14280,15.19,11
14300,15.21,12
14320,15.23,12
14340,15.25,10
14360,15.27,14
14380,15.29,11
14400,15.31,7
14420,15.32,14
14440,15.35,12
14460,15.37,12
14480,15.39,11
14500,15.41,9
14520,15.43,14
14540,15.45,10
14560,15.46,11
14580,15.49,12
14600,15.51,13
14620,15.53,11
14640,15.55,14
14660,15.56,15
14680,15.59,12
14700,15.61,13
14720,15.63,13
14740,15.65,13
14760,15.67,12
14780,15.69,9
14800,15.71,11
14820,15.72,14
14840,15.75,12
14860,15.77,11
14880,15.79,15
14900,15.81,10
14920,15.83,12
14940,15.84,13
14960,15.87,10
14980,15.89,13
15000,15.91,12
15020,15.93,14
15040,15.95,13
15060,15.97,13
15080,15.99,14
15100,16.0,15
15120,16.03,15
15140,16.05,15
15160,16.07,12
15180,16.08,13
15200,16.11,13
15220,16.13,11
15240,16.14,11
15260,16.17,13
15280,16.19,14
15300,16.21,11
