arduino_timestamp,elapsed_time,capacitive_value
12920,13.83,9
12940,13.85,2
12960,13.87,7
12980,13.89,8
13000,13.91,8
13020,13.93,5
13040,13.95,5
13060,13.97,0
13080,13.99,10
13100,14.01,10
13120,14.03,8
13140,14.05,7
13160,14.07,7
13180,14.09,8
13200,14.11,10
13220,14.13,7
13240,14.15,6
13260,14.17,7
13280,14.19,8
13300,14.21,11
13320,14.23,9
13340,14.25,9
13360,14.27,8
13380,14.29,6
13400,14.31,7
13420,14.33,8
13440,14.35,9
13460,14.37,7
13480,14.39,10
13500,14.41,10
13520,14.43,9
13540,14.45,9
13560,14.47,9
13580,14.49,5
13600,14.51,9
13620,14.53,7
13640,14.55,6
13660,14.57,9
13680,14.59,9
13700,14.61,12
13720,14.63,9
13740,14.65,8
13760,14.67,8
13780,14.69,9
13800,14.71,9
13820,14.73,6
13840,14.75,8
13860,14.77,6
13880,14.79,10
13900,14.81,9
13920,14.83,6
13940,14.85,10
13960,14.87,8
13980,14.89,10
14000,14.91,10
14020,14.93,6
14040,14.95,7
14060,14.97,9
14080,14.99,9
14100,15.01,10
14120,15.03,7
14140,15.05,10
14160,15.07,8
14180,15.09,10
14200,15.11,10
14220,15.13,10
14240,15.15,8
14260,15.17,9
14280,15.19,10
14300,15.21,10
14320,15.23,10
14340,15.25,7
14360,15.27,7
14380,15.29,11
14400,15.31,6
14420,15.33,8
14440,15.35,8
14460,15.37,8
14480,15.39,8
14500,15.41,8
14520,15.43,12
14540,15.45,8
14560,15.47,8
14580,15.49,10
14600,15.51,12
14620,15.53,10
14640,15.55,6
14660,15.57,9
14680,15.59,8
14700,15.61,11
14720,15.63,8
14740,15.65,7
14760,15.67,9
14780,15.69,10
14800,15.71,10
14820,15.73,8
14840,15.75,6
14860,15.77,9
14880,15.79,10
14900,15.81,9
14920,15.83,11
14940,15.85,10
14960,15.87,8
14980,15.89,9
15000,15.91,10
15020,15.93,10
15040,15.95,7
15060,15.97,9
15080,15.99,7
15100,16.01,7
15120,16.03,5
15140,16.05,9
15160,16.07,9
15180,16.09,5
15200,16.11,10
15220,16.13,4
15240,16.15,7
15260,16.17,9
15280,16.19,10
15300,16.21,7
15320,16.23,8
15340,16.25,8
15360,16.27,9
15380,16.29,10
15400,16.32,10
15420,16.33,9
15440,16.35,9
15460,16.37,9
15480,16.39,10
15500,16.41,12
15520,16.43,6
15540,16.45,8
15560,16.47,7
15580,16.49,7
15600,16.51,10
15620,16.53,9
15640,16.55,6
15660,16.57,9
15680,16.59,6
15700,16.61,8
15720,16.63,8
15740,16.65,9
15760,16.67,5
15780,16.69,8
15800,16.71,10
15820,16.73,8
15840,16.75,5
15860,16.77,8
15880,16.79,10
15900,16.81,8
15920,16.83,11
15940,16.85,7
15960,16.87,9
15980,16.89,7
16000,16.91,9
16020,16.93,8
16040,16.95,9
16060,16.97,11
16080,16.99,9
16100,17.01,9
16120,17.03,8
16140,17.05,9
16160,17.07,8
16180,17.09,9
16200,17.11,8
16220,17.13,8
16240,17.15,7
16260,17.17,9
16280,17.19,4
16300,17.21,8
16320,17.23,9
16340,17.25,9
16360,17.27,10
16380,17.29,7
16400,17.31,10
16420,17.33,8
16440,17.35,9
16460,17.37,8
16480,17.39,10
16500,17.41,9
16520,17.43,7
16540,17.45,9
16560,17.47,10
16580,17.49,10
16600,17.51,9
16620,17.53,6
16640,17.55,8
16660,17.57,8
16680,17.59,11
16700,17.61,8
16720,17.63,8
16740,17.65,7
16760,17.67,8
16780,17.69,10
16800,17.71,7
16820,17.73,8
16840,17.75,8
16860,17.77,9
16880,17.79,10
16900,17.81,10
16920,17.83,7
16940,17.85,6
16960,17.87,8
16980,17.89,11
17000,17.91,8
17020,17.93,7
17040,17.95,8
17060,17.97,9
17080,17.99,8
17100,18.01,8
17120,18.03,8
17140,18.05,5
17160,18.07,6
17180,18.09,8
17200,18.11,10
17220,18.13,3
17240,18.15,9
17260,18.17,9
17280,18.19,7
17300,18.21,9
17320,18.23,8
17340,18.25,7
17360,18.27,9
17380,18.29,10
17400,18.31,9
17420,18.33,9
17440,18.35,6
17460,18.38,7
17480,18.39,10
17500,18.41,7
